city,country,continent,area_total,population_total,popdens,nbhd_num,GDPpc_mean,income_mean,PM25_mean,PM25.UESI,NO2_mean,NO2.UESI,UHI_mean,UHI.UESI,TREECAP_mean,TREECAP.UESI,PUBTRANS_mean,PUBTRANS.UESI,TRANSCOV_mean,TRANSCOV.UESI
novosibirsk,Russia,Asia,495548172.6,1612833,3254.644229,10,188.4681128,NA,17.72538472,40.27,18.05812108,48.74,-12.59957304,100,128.8760165,95.71,748.638529,96.35,0.571455963,87.44
omaha,United States of America,North America,654830333.2,535504,817.7751898,152,6389.014087,62186.5,8.544612504,99.99,8.545892323,77.44,-0.048531638,77.84,216.7903642,99.17,899.546413,93.19,0.077317615,18.66
oslo,Norway,Europe,178338879.8,677039,3796.362301,16,9881.755939,622125,7.228539995,100,6.408680498,86.76,-12.02553272,100,134.6405087,100,334.8535269,97.62,0.881245075,98.06
ottawa,Canada,North America,2893800930,916855,316.8341646,23,540.7232343,90140.95652,5.818077469,100,5.770476848,88.09,-6.828886007,97.16,2192.250188,100,1291.527229,80.57,0.6058423,84.66
paris,France,Europe,105054704.9,2220445,21136.08336,20,8652.634259,29629.185,14.52201295,52.53,14.20501792,57.13,-3.837021113,91.68,4.846202519,70.36,118.557982,100,0.987285034,100
paterson,United States of America,North America,22489669.26,147890,6575.908178,33,17312.26883,35364.27273,10.24576387,96.13,10.54531288,69.83,1.802127631,69.1,38.58935924,96.42,555.3562398,100,0.03023779,3.03
perth,Australia,Oceania,3608077960,1919683,532.0514195,162,117936.4916,6370.222222,2.607643315,100,2.402480348,94.73,5.498956478,53.76,16406.69992,98.58,1564.008314,70.46,0.256728383,52.11
philadelphia,United States of America,North America,368454378.9,1569657,4260.112215,384,32121.60167,43391.34635,10.12441055,95.82,10.0937195,71.22,1.15892625,72.18,259.4585188,86.22,525.6760946,97.3,0.299003911,33.04
phnompenh,Cambodia,Asia,687826711.1,1501256,2182.60788,96,119.1342453,NA,19.48825851,34.19,17.80692736,49.04,14.14798956,9.79,31.72020805,54.44,679.9697476,89.57,0.288821784,43.16
phoenix,United States of America,North America,1767243219,1623953,918.9187899,362,7903.811623,57455.52778,11.93455908,73.46,11.73551502,65.98,17.13219284,0.09,2.426381796,30.6,478.7830837,97.49,0.525695973,76.97
portland,United States of America,North America,516452690.5,737921,1428.825938,160,7672.544722,69194.30189,4.968308913,100,4.652056744,90.03,-0.317961369,78.96,450.8213313,99.86,546.5059006,94.48,0.584805539,77.23
porto,Portugal,Europe,41254553.33,237591,5759.146102,15,9991.353607,NA,8.132340893,100,7.597952426,82.51,1.541441837,70.48,6.415887316,73.23,161.0617512,100,0.981831749,100
qingdao,China,Asia,11040300000,9291100,841.5622764,10,4.044545855,55692,50.54981536,0,50.83524781,0.32,-0.389027285,79.56,16.91275466,83.08,7592.668428,26.07,0.192421958,54.28
quito,Ecuador,South America,346568237.5,1607723,4638.979647,32,1001.189221,NA,7.755696784,100,7.569091181,83.07,4.719407594,57.47,69.15464173,97.18,615.4939634,93.67,0.583642127,87.67
reykjavik,Iceland,Europe,99367335.9,125356,1261.541319,12,606.9476106,6462500,2.132107191,100,2.045409693,95.53,-16.63713394,100,0,0,NA,NA,0,0
